Transaction ID,Item Name,Seller Name,Brand Name,Sector Name,Category Name,User ID,Transaction Amount,Unit Price,Transaction Date
341302176225506979,Item 103,Seller 27,Brand 10,Sector 2,Cata 9,890137472656,364.7199798671372,5266.573342350288,2024-03-31
975197337308265047,Item 271,Seller 93,Brand 12,Sector 4,Cata 2,235918055311,12526.49157433313,5112.045209496483,2023-02-22
751353153993660809,Item 107,Seller 105,Brand 11,Sector 4,Cata 20,586274170992,1549.9460607480687,5173.15072368698,2022-09-27
191586617719598793,Item 72,Seller 53,Brand 12,Sector 4,Cata 6,697036268975,7033.214732665895,5206.989250853723,2023-04-28
359552542173650084,Item 189,Seller 52,Brand 17,Sector 4,Cata 8,508605726216,15840.365321816349,6221.287378933628,2023-06-25
961981417377992128,Item 21,Seller 63,Brand 4,Sector 2,Cata 18,448452765644,13575.705293683917,5463.008667364539,2022-12-21
166891817563882028,Item 103,Seller 181,Brand 6,Sector 3,Cata 3,576881704345,9992.288201244734,5091.32042325012,2023-10-27
722427983632086015,Item 122,Seller 57,Brand 18,Sector 2,Cata 3,107599868766,20958.631069651954,5379.2519258141965,2023-02-01
295328109726420053,Item 215,Seller 120,Brand 12,Sector 1,Cata 2,274362426122,10468.344940746416,5832.197247324022,2023-04-09
997124146956146890,Item 88,Seller 52,Brand 12,Sector 2,Cata 9,910284046235,15289.198155013932,6226.531735419037,2022-03-29
483719316804483340,Item 100,Seller 107,Brand 10,Sector 4,Cata 1,860781757323,6868.566510917068,5770.840657196963,2024-03-18
446861830204126438,Item 152,Seller 43,Brand 12,Sector 2,Cata 18,959457739200,0.0,5487.83226828236,2022-12-21
295050788066930030,Item 131,Seller 135,Brand 5,Sector 2,Cata 8,497028238699,11136.443234174525,6363.4281277835535,2023-02-05
216210857734067969,Item 150,Seller 117,Brand 12,Sector 4,Cata 9,911146486381,12218.944348989447,5390.179714605075,2023-02-11
795559820105741035,Item 258,Seller 170,Brand 20,Sector 7,Cata 3,474698379132,12061.230783210962,5359.091097927783,2023-02-20
692390714148511735,Item 294,Seller 4,Brand 12,Sector 5,Cata 3,082418940369,2790.8614371844033,4923.461158832261,2023-04-24
190002751577192743,Item 192,Seller 197,Brand 2,Sector 7,Cata 17,907978009736,24891.03775260839,5194.026396973541,2023-06-21
518890830007700940,Item 277,Seller 133,Brand 17,Sector 4,Cata 3,734140195073,4475.5890462206735,4920.267155544305,2024-08-06
091922936047065829,Item 161,Seller 80,Brand 8,Sector 2,Cata 18,412059983118,10510.314136122477,4847.585142536916,2024-03-21
152781963542841143,Item 22,Seller 41,Brand 3,Sector 5,Cata 3,428464582386,11253.383543553233,5459.345977282659,2023-08-21
934812483130310815,Item 253,Seller 132,Brand 17,Sector 2,Cata 13,611789365404,14096.223186137147,5253.617991084811,2024-03-22
719359336633449577,Item 236,Seller 2,Brand 5,Sector 1,Cata 15,819532913906,6552.48405973551,6102.190072116923,2023-04-18
